player_id,playedgames,playedmins,perfdef,perfattack,perfposs,total
57,8,720,99.0,0.0,28,127.0
62,6,484,24.0,98.0,-10,112.0
68,4,360,44.0,6.0,58,108.0
83,6,357,-1.0,116.0,-10,105.0
60,7,483,105.0,-9.0,-3,93.0
65,6,529,60.0,62.0,-31,91.0
36,5,450,-2.0,8.0,80,86.0
230,2,119,7.0,32.0,37,75.0
177,3,270,23.0,20.0,25,67.0
81,7,630,74.0,0.0,-14,60.0
85,7,503,12.0,10.0,36,57.0
100,6,187,20.0,35.0,-5,50.0
88,4,39,3.0,52.0,-6,49.0
76,6,485,36.0,71.0,-59,48.0
50,8,526,-26.0,134.0,-60,48.0
80,5,383,-25.0,91.0,-21,44.0
54,7,540,5.0,56.0,-23,38.0
170,2,86,-9.0,48.0,-1,37.0
94,5,450,17.0,2.0,15,34.0
87,4,221,20.0,4.0,7,31.0
79,8,720,33.0,56.0,-63,27.0
84,6,495,-30.0,63.0,-6,27.0
99,4,360,-23.0,45.0,1,23.0
97,5,194,-21.0,56.0,-13,22.0
41,3,211,-2.0,54.0,-38,13.0
96,4,232,-7.0,14.0,4,11.0
44,4,308,-41.0,98.0,-48,10.0
166,1,34,3.0,0.0,1,4.0
101,6,540,-9.0,3.0,8,3.0
98,6,510,-49.0,118.0,-80,-11.0
95,10,690,-23.0,76.0,-67,-14.0
104,4,228,-17.0,-17.0,-17,-51.0
102,5,332,-9.0,-13.0,-35,-57.0
2,31,2651,53.0,1.507,-43,1.517
1,32,2861,-120.0,1.306,60,1.246
4,28,2164,48.0,614.0,162,824.0
5,29,2571,92.0,435.0,197,724.0
6,30,2688,209.0,257.0,207,674.0
9,21,1063,27.0,217.0,-87,156.0
10,31,2168,-15.0,341.0,-189,137.0
7,28,2370,38.0,137.0,-120,55.0
233,25,1987,170.0,302.0,-196,276.0
231,24,2085,33.0,213.0,-15,231.0
307,18,1620,106.0,235.0,-210,132.0
13,40,3425,612.0,163.0,167,943.0
14,40,3214,144.0,244.0,178,566.0
12,39,3388,143.0,559.0,-388,314.0
16,33,2531,157.0,380.0,-236,301.0
24,23,1118,97.0,190.0,4,291.0
22,43,3870,362.0,-27.0,-123,211.0
21,44,3828,642.0,41.0,-497,186.0
17,19,1492,170.0,121.0,-133,158.0
15,24,1436,128.0,75.0,-67,136.0
20,40,3600,261.0,218.0,-345,134.0
23,39,3188,-236.0,307.0,53,124.0
19,28,2449,45.0,161.0,-91,115.0
18,37,2676,4.0,300.0,-348,-43.0
25,31,1625,39.0,330.0,-430,-61.0
315,34,3060,342.0,7.0,182,531.0
314,31,2367,62.0,262.0,-62,262.0
312,29,2501,251.0,67.0,-97,221.0
310,26,2237,110.0,45.0,-16,139.0
313,32,2844,166.0,44.0,-314,-104.0
145,27,2430,583.0,32.0,136,751.0
200,28,2302,221.0,181.0,226,628.0
151,22,1980,126.0,0.0,-6,119.0
149,9,810,126.0,4.0,-14,116.0
148,24,986,-83.0,125.0,-116,-74.0
345,33,2914,330.0,432.0,228,990.0
343,24,1896,38.0,599.0,185,822.0
342,33,2954,5.0,738.0,-122,621.0
348,29,2546,428.0,23.0,167,619.0
344,27,1571,-76.0,394.0,208,526.0
346,24,2116,49.0,203.0,125,377.0
351,26,1958,-49.0,267.0,136,354.0
349,22,1192,65.0,259.0,-92,232.0
355,28,2415,191.0,42.0,-9,223.0
358,21,1798,188.0,-4.0,-13,171.0
359,18,477,20.0,158.0,-27,152.0
357,27,2122,68.0,72.0,-25,116.0
352,17,1145,4.0,116.0,-18,102.0
360,17,603,-36.0,-4.0,62,21.0
347,22,1637,-22.0,234.0,-196,16.0
354,25,1781,-133.0,175.0,-110,-68.0
353,31,2716,13.0,205.0,-303,-86.0
356,22,1901,-86.0,0.0,-14,-100.0
361,22,1467,-43.0,99.0,-208,-151.0
163,31,2790,589.0,66.0,125,780.0
172,30,2700,269.0,278.0,215,761.0
155,29,2610,302.0,286.0,160,748.0
168,31,2125,39.0,414.0,58,511.0
171,29,2610,203.0,119.0,178,500.0
162,30,2596,103.0,438.0,-45,496.0
175,28,1878,191.0,187.0,54,432.0
165,23,1712,161.0,260.0,-26,395.0
161,19,1559,42.0,521.0,-183,379.0
183,27,2099,165.0,173.0,36,374.0
173,31,2790,267.0,0.0,101,368.0
182,27,2353,200.0,136.0,3,340.0
164,29,2527,257.0,185.0,-114,328.0
189,24,2089,192.0,20.0,115,327.0
180,26,2266,173.0,0.0,142,315.0
174,29,2554,122.0,102.0,65,289.0
190,20,828,-23.0,357.0,-75,259.0
181,24,1638,50.0,301.0,-141,211.0
188,16,1026,180.0,18.0,-67,131.0
186,28,2475,161.0,28.0,-59,130.0
169,24,1707,-81.0,408.0,-237,90.0
187,25,2033,111.0,106.0,-178,38.0
191,17,907,11.0,17.0,-31,-3.0
184,27,2189,43.0,205.0,-282,-34.0
192,21,919,-40.0,97.0,-105,-48.0
110,32,2861,-47.0,1.046,24,1.023
125,32,2337,83.0,479.0,-154,408.0
123,29,2356,-137.0,655.0,-184,335.0
127,27,2196,-70.0,245.0,154,329.0
132,30,2127,14.0,257.0,-5,266.0
124,24,2024,76.0,106.0,43,226.0
137,26,2340,118.0,0.0,60,178.0
140,31,2373,19.0,334.0,-214,139.0
134,28,2115,-60.0,224.0,-54,109.0
138,27,1936,157.0,106.0,-176,87.0
142,20,840,-10.0,65.0,-79,-24.0
141,34,3060,41.0,13.0,-84,-30.0
