player_id,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
186,30,2656,1,0,2,0,0.2,77.5,2,0,6.64
187,26,2289,0,0,2,0,0.6,75.7,1.3,0,6.63
188,12,1109,0,1,3,0,0.4,76.3,1.6,0,6.61
189,23,2090,0,0,3,1,0.1,88.5,0.6,0,6.57
190,9,929,8,1,2,0,1.7,73.6,1,0,6.57
191,12,1036,0,0,4,0,0.1,81.7,0.4,0,6.56
192,9,916,3,0,4,0,0.9,74.3,0.8,0,6.49
193,6,550,6,0,1,0,2.9,80.0,0,2,7.27
194,5,450,0,0,0,0,0,60.9,0.4,0,7.22
195,7,586,1,0,3,0,0.3,84.1,3,0,6.99
196,3,256,1,1,0,0,1.2,71.2,0.4,0,6.88
197,0,93,0,0,1,0,0.4,75.6,0,0,6.21
198,9,809,2,4,0,0,2.6,75.4,1.4,1,7.69
199,11,990,3,2,2,0,3.5,81.7,0.2,1,7.16
200,9,805,1,0,0,0,0.6,86.8,2.4,1,6.95
201,7,621,0,0,0,0,0.9,81.4,2.1,0,6.58
202,20,1788,19,13,4,1,4.5,79.6,0.2,12,8.95
203,30,2589,28,6,3,0,3.3,80.2,0.3,2,7.69
204,24,2097,13,8,2,0,2.9,83.1,0.3,7,7.54
205,26,2122,11,6,1,0,3.2,79.4,0,3,7.37
206,26,2297,7,6,2,0,1.9,73.1,0.5,3,7.31
207,25,2157,2,7,4,0,0.7,85.3,1.6,4,7.14
208,35,3052,4,1,8,0,1.1,86.2,1,2,7.13
209,36,3240,3,3,8,0,0.7,81.1,2.7,1,7.12
210,35,3094,0,5,3,0,0.3,82.3,1.2,2,7.11
211,31,2801,1,6,6,0,0.7,86.3,0.8,2,7.11
212,27,2383,2,8,1,0,1.6,84.8,0.2,1,7.1
213,16,1573,4,4,3,0,0.5,84.8,1,0,7.09
214,24,2117,1,0,5,0,0.4,96.1,1.9,0,7.08
215,19,1706,4,5,1,0,0.8,92.8,0.3,0,7.04
216,23,1927,9,2,7,1,2.7,77.6,0.7,3,7.0
217,37,3286,3,1,8,0,1.1,77.1,2.7,0,6.94
218,22,1866,5,3,2,0,1.7,79.7,0.5,0,6.92
219,34,3060,0,0,0,0,0,91.1,0.2,2,6.88
220,27,2425,0,0,6,2,0.4,95.3,1.1,0,6.84
221,18,1567,0,1,1,0,0.9,81.8,1,0,6.84
222,16,1510,1,1,2,1,0.6,76.5,1.4,1,6.7
223,38,3420,0,0,0,0,0,58.6,0.4,1,6.68
224,28,2482,13,1,8,0,2.1,67.7,2.3,2,6.64
225,12,1032,3,3,5,0,0.7,72.9,0.5,1,6.61
226,29,2570,0,0,0,1,0,49.3,0,0,6.61
227,34,2941,0,0,3,0,0,63.7,0.3,0,6.57
