id,nationality_name
1,Morocco
2,Iran
3,Mexico
4,Denmark
5,Colombia
6,Nigeria
7,Serbia
8,Australia
9,Sweden
10,Costa Rica
11,Iceland
12,Poland
13,Portugal
14,France
15,Germany
16,Switzerland
17,Belgium
18,Argentina
19,Russia
20,England
21,Spain
22,Japan
23,Brazil
24,Uruguay
25,Croatia
26,Peru
27,Egypt
28,Tunisia
29,Senegal
